policy,samples,accepted,acceptance_rate,unsafe_deployments,unsafe_rate_among_accepted,unsafe_rate_ci95_low,unsafe_rate_ci95_high,safe_accepted,safe_rejected,safe_coverage,safe_coverage_ci95_low,safe_coverage_ci95_high
direct,186,186,1.0,74,0.3978494623655914,0.3302609270591552,0.4695720481188793,112,0,1.0,0.9668386529330562,1.0
twin_only,186,186,1.0,74,0.3978494623655914,0.3302609270591552,0.4695720481188793,112,0,1.0,0.9668386529330562,1.0
raw_candidate_link_sentinel,186,111,0.5967741935483871,2,0.018018018018018018,0.004955178708528081,0.06332555284276006,109,3,0.9732142857142857,0.9241945450432856,0.9908491800540711
conformal_candidate_link_sentinel,186,110,0.5913978494623656,1,0.00909090909090909,0.0016065753043216016,0.0497056520793305,109,3,0.9732142857142857,0.9241945450432856,0.9908491800540711
