policy,test_samples,accepted,acceptance_rate,unsafe_deployments,unsafe_deployment_rate_among_accepted,unsafe_rate_ci95_low,unsafe_rate_ci95_high,safe_accepted,safe_rejected,mean_margin_ms
direct,33,33,1.0,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,13,0,
twin_only,33,33,1.0,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,13,0,
fixed_margin_10ms,33,33,1.0,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,13,0,
static_residual_quantile,33,33,1.0,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,13,0,
rolling_residual_quantile_full_feedback,33,15,0.45454545454545453,2,0.13333333333333333,0.03736125910306537,0.37881982832322364,13,0,54.095666666666666
